onset	duration	nwb_table	animal	session	trial	center_in	center_out	side_in	outcome	zeroth_side_out	first_side_out	last_side_out	action	rewarded	trial_in_block	prebswitch_num	block_num	state	last_side_out_side	tmax
3778.4169	4484.258228999999	trials	BSD015	p105	1	3778.4169	3778.453066	3780.015227	3780.020727	3780.07956	3784.12321	3784.12321	right	1.0	0	-22.0	1	right	right	8262.675129
3786.364868	4476.310260999999	trials	BSD015	p105	2	3786.364868	3786.6887		3791.688847				nan		1	-21.0	1	right	nan	8262.675129
3798.150654	4464.524474999999	trials	BSD015	p105	3	3798.150654	3798.808985	3799.791981	3799.791981	3799.829981	3800.300312	3819.16557	left	0.0	2	-20.0	1	right	left	8262.675129
3820.304399	4442.370729999999	trials	BSD015	p105	4	3820.304399	3820.338065	3821.131729	3821.137229	3821.337561	3839.444156	3839.444156	right	1.0	3	-19.0	1	right	right	8262.675129
3840.731484	4421.943644999999	trials	BSD015	p105	5	3840.731484	3841.146149	3841.627647	3841.633147	3841.808646	3846.456294	3846.456294	right	1.0	4	-18.0	1	right	right	8262.675129
3847.49729	4415.177839	trials	BSD015	p105	6	3847.49729	3847.564956	3848.193787	3848.201121	3849.525782	3851.273108	3851.273108	right	0.0	5	-17.0	1	right	right	8262.675129
3851.859439	4410.815689999999	trials	BSD015	p105	7	3851.859439	3851.885273	3852.622436	3852.627936	3856.917752	3866.159882	3866.159882	right	1.0	6	-16.0	1	right	right	8262.675129
3866.61488	4396.060248999999	trials	BSD015	p105	8	3866.61488	3866.64288	3867.184545	3867.190045	3867.346711	3870.459365	3870.459365	right	1.0	7	-15.0	1	right	right	8262.675129
3871.740193	4390.934936	trials	BSD015	p105	9	3871.740193	3871.994359	3872.52819	3872.533523	3872.780022	3882.078652	3882.078652	right	1.0	8	-14.0	1	right	right	8262.675129
3882.61115	4380.063978999999	trials	BSD015	p105	10	3882.61115	3884.085477	3884.697141	3884.702475	3884.854307	3887.45813	3887.45813	right	1.0	9	-13.0	1	right	right	8262.675129
3888.058961	4374.616167999999	trials	BSD015	p105	11	3888.058961	3888.225627	3889.014291	3889.019624	3889.042624	3891.698447	3891.698447	right	1.0	10	-12.0	1	right	right	8262.675129
3892.307278	4370.367850999999	trials	BSD015	p105	12	3892.307278	3892.41311	3892.973942	3892.979441	3893.003441	3898.32542	3898.32542	right	1.0	11	-11.0	1	right	right	8262.675129
3899.127084	4363.548045	trials	BSD015	p105	13	3899.127084	3899.279583	3900.380245	3900.385579	3903.401566	3903.883231	3903.883231	right	1.0	12	-10.0	1	right	right	8262.675129
3904.553062	4358.122066999999	trials	BSD015	p105	14	3904.553062	3904.609228	3905.142393	3905.147726	3905.333725	3907.881215	3907.881215	right	1.0	13	-9.0	1	right	right	8262.675129
3908.687045	4353.988083999999	trials	BSD015	p105	15	3908.687045	3908.785878	3909.377376	3909.384709	3909.417876	3912.741696	3912.741696	right	0.0	14	-8.0	1	right	right	8262.675129
3913.175361	4349.499768	trials	BSD015	p105	16	3913.175361	3913.203694	3914.018524	3914.024024	3914.200857	3916.222349	3916.222349	right	1.0	15	-7.0	1	right	right	8262.675129
3916.76418	4345.910948999999	trials	BSD015	p105	17	3916.76418	3917.58501	3918.153841	3918.159174	3918.34934	3919.208503	3919.208503	right	1.0	16	-6.0	1	right	right	8262.675129
3919.667168	4343.007960999999	trials	BSD015	p105	18	3919.667168	3919.871001	3920.461998	3920.461998	3920.530331	3921.492994	3921.492994	left	0.0	17	-5.0	1	right	left	8262.675129
3922.037992	4340.637137	trials	BSD015	p105	19	3922.037992	3922.125825	3922.634656	3922.640156	3922.796156	3931.348288	3931.348288	right	1.0	18	-4.0	1	right	right	8262.675129
3931.824286	4330.850842999999	trials	BSD015	p105	20	3931.824286	3931.853453	3932.738449	3932.738449	3932.783616	3933.319447	3933.319447	left	0.0	19	-3.0	1	right	left	8262.675129
3933.900944	4328.774184999999	trials	BSD015	p105	21	3933.900944	3934.004111	3934.457442	3934.462942	3934.618608	3939.390089	3939.390089	right	1.0	20	-2.0	1	right	right	8262.675129
3940.375919	4322.299209999999	trials	BSD015	p105	22	3940.375919	3940.502751	3941.062916	3941.068416	3941.208249	3943.828071	3943.828071	right	1.0	21	-1.0	1	right	right	8262.675129
3944.498069	4318.177059999999	trials	BSD015	p105	23	3944.498069	3944.518902	3945.188399	3945.188399	3946.214229	3946.214229	3946.214229	right	0.0	0	0.0	2	left	right	8262.675129
3946.670227	4316.004901999999	trials	BSD015	p105	24	3946.670227	3947.278058	3947.762056	3947.762056	3947.890722	3950.06538	3950.06538	right	0.0	1	-38.0	2	left	right	8262.675129
3950.601044	4312.074084999999	trials	BSD015	p105	25	3950.601044	3950.674044	3951.457041	3951.457041	3953.881198	3953.881198	3953.881198	right	0.0	2	-37.0	2	left	right	8262.675129
3954.495195	4308.179934	trials	BSD015	p105	26	3954.495195	3954.693361	3955.198526	3955.198526	3955.215693	3956.626187	3956.626187	right	0.0	3	-36.0	2	left	right	8262.675129
3957.332517	4305.3426119999995	trials	BSD015	p105	27	3957.332517	3957.47435	3958.258014	3958.265347	3958.30018	3959.838341	3959.838341	left	0.0	4	-35.0	2	left	left	8262.675129
3960.371339	4302.30379	trials	BSD015	p105	28	3960.371339	3960.469505	3960.971003	3960.971003	3961.081169	3963.30916	3963.30916	right	0.0	5	-34.0	2	left	right	8262.675129
3963.696492	4298.978636999999	trials	BSD015	p105	29	3963.696492	3963.863658	3964.445489	3964.445489	3964.538655	3965.740817	3965.740817	right	0.0	6	-33.0	2	left	right	8262.675129
3966.139982	4296.535146999999	trials	BSD015	p105	30	3966.139982	3966.288148	3966.754313	3966.761646	3966.79798	3967.360144	3967.360144	left	0.0	7	-32.0	2	left	left	8262.675129
3967.786809	4294.888319999999	trials	BSD015	p105	31	3967.786809	3967.872809	3968.318473	3968.318473	3968.401473	3969.19797	3969.19797	right	0.0	8	-31.0	2	left	right	8262.675129
3969.567302	4293.107827	trials	BSD015	p105	32	3969.567302	3969.947967	3970.458132	3970.458132	3970.973796	3971.149795	3971.149795	right	0.0	9	-30.0	2	left	right	8262.675129
3971.522294	4291.152834999999	trials	BSD015	p105	33	3971.522294	3971.65946	3972.230624	3972.236124	3972.312124	3975.632611	3975.632611	left	1.0	10	-29.0	2	left	left	8262.675129
3976.023276	4286.651852999999	trials	BSD015	p105	34	3976.023276	3976.118109	3976.637274	3976.637274	3976.698773	3977.755102	3977.755102	right	0.0	11	-28.0	2	left	right	8262.675129
3978.415766	4284.259362999999	trials	BSD015	p105	35	3978.415766	3978.540933	3979.018597	3979.024097	3979.039764	3980.711257	3980.711257	left	1.0	12	-27.0	2	left	left	8262.675129
3981.379921	4281.295208	trials	BSD015	p105	36	3981.379921	3981.461421	3982.119252	3982.119252	3982.191251	3983.104248	4003.005835	right	0.0	13	-26.0	2	left	left	8262.675129
4003.928331	4258.746797999999	trials	BSD015	p105	37	4003.928331	4003.993664	4004.475162	4004.475162	4004.575162	4004.98216	4004.98216	right	0.0	14	-25.0	2	left	right	8262.675129
4005.416325	4257.258803999999	trials	BSD015	p105	38	4005.416325	4005.570824	4006.168989	4006.174489	4006.274988	4009.485142	4009.485142	left	1.0	15	-24.0	2	left	left	8262.675129
4010.181473	4252.493655999999	trials	BSD015	p105	39	4010.181473	4010.251972	4010.90647	4010.91197	4011.037969	4014.191957	4014.191957	left	1.0	16	-23.0	2	left	left	8262.675129
4015.235452	4247.439676999999	trials	BSD015	p105	40	4015.235452	4015.296452	4015.784784	4015.79195	4015.830617	4017.717276	4017.717276	left	0.0	17	-22.0	2	left	left	8262.675129
4018.35944	4244.315688999999	trials	BSD015	p105	41	4018.35944	4018.630772	4019.119104	4019.124437	4019.26177	4022.975422	4022.975422	left	1.0	18	-21.0	2	left	left	8262.675129
4023.914751	4238.760377999999	trials	BSD015	p105	42	4023.914751	4023.971084	4024.662748	4024.668248	4024.779748	4026.469574	4026.469574	left	1.0	19	-20.0	2	left	left	8262.675129
4027.088905	4235.586223999999	trials	BSD015	p105	43	4027.088905	4027.222738	4027.771236	4027.776569	4027.808902	4030.498891	4030.498891	left	1.0	20	-19.0	2	left	left	8262.675129
4031.092556	4231.582573	trials	BSD015	p105	44	4031.092556	4031.259388	4031.75072	4031.758053	4031.77522	4032.389884	4032.389884	left	0.0	21	-18.0	2	left	left	8262.675129
4033.079381	4229.595748	trials	BSD015	p105	45	4033.079381	4033.309047	4033.804045	4033.811378	4033.827545	4034.869041	4034.869041	left	0.0	22	-17.0	2	left	left	8262.675129
4035.344705	4227.330424	trials	BSD015	p105	46	4035.344705	4035.568038	4036.174035	4036.181369	4037.011699	4037.011699	4037.011699	left	0.0	23	-16.0	2	left	left	8262.675129
4037.43353	4225.241598999999	trials	BSD015	p105	47	4037.43353	4037.630696	4038.191861	4038.197361	4038.32886	4041.304848	4041.304848	left	1.0	24	-15.0	2	left	left	8262.675129
4041.991845	4220.683283999999	trials	BSD015	p105	48	4041.991845	4042.122345	4042.727009	4042.734176	4042.861509	4043.568339	4043.568339	left	0.0	25	-14.0	2	left	left	8262.675129
4044.088504	4218.586625	trials	BSD015	p105	49	4044.088504	4044.270336	4044.883501	4044.888834	4045.019833	4047.165491	4047.165491	left	1.0	26	-13.0	2	left	left	8262.675129
4047.825655	4214.849473999999	trials	BSD015	p105	50	4047.825655	4048.28682	4048.880818	4048.888151	4049.07265	4049.943314	4049.943314	left	0.0	27	-12.0	2	left	left	8262.675129
4050.472478	4212.202651	trials	BSD015	p105	51	4050.472478	4050.81181	4051.304975	4051.310475	4051.315141	4054.849627	4054.849627	left	1.0	28	-11.0	2	left	left	8262.675129
4055.519458	4207.155670999999	trials	BSD015	p105	52	4055.519458	4055.75879	4056.330621	4056.336121	4056.392955	4060.09044	4060.09044	left	1.0	29	-10.0	2	left	left	8262.675129
4061.355768	4201.319361	trials	BSD015	p105	53	4061.355768	4061.7811	4062.308264	4062.315431	4062.408097	4064.745921	4064.745921	left	0.0	30	-9.0	2	left	left	8262.675129
4066.200249	4196.47488	trials	BSD015	p105	54	4066.200249	4066.321081	4066.882079	4066.887579	4067.004245	4069.676568	4069.676568	left	1.0	31	-8.0	2	left	left	8262.675129
4070.362065	4192.313064	trials	BSD015	p105	55	4070.362065	4070.478898	4070.924563	4070.930063	4070.94423	4075.343545	4075.343545	left	1.0	32	-7.0	2	left	left	8262.675129
4076.114542	4186.560587	trials	BSD015	p105	56	4076.114542	4076.228875	4076.820039	4076.825539	4076.943372	4079.010864	4079.010864	left	1.0	33	-6.0	2	left	left	8262.675129
4079.589695	4183.085433999999	trials	BSD015	p105	57	4079.589695	4079.734028	4080.345525	4080.351025	4080.450692	4082.487683	4082.487683	left	1.0	34	-5.0	2	left	left	8262.675129
4083.186181	4179.488947999999	trials	BSD015	p105	58	4083.186181	4083.454846	4083.940011	4083.945511	4083.957844	4086.215669	4086.215669	left	1.0	35	-4.0	2	left	left	8262.675129
4087.404664	4175.270465	trials	BSD015	p105	59	4087.404664	4087.599663	4088.089494	4088.094828	4088.183327	4091.126816	4091.126816	left	1.0	36	-3.0	2	left	left	8262.675129
4091.759146	4170.915982999999	trials	BSD015	p105	60	4091.759146	4091.910146	4092.352644	4092.357977	4092.383644	4095.304132	4095.304132	left	1.0	37	-2.0	2	left	left	8262.675129
4095.845963	4166.8291659999995	trials	BSD015	p105	61	4095.845963	4096.053129	4096.671293	4096.676627	4098.635786	4098.635786	4098.635786	left	1.0	38	-1.0	2	left	left	8262.675129
4099.22545	4163.449678999999	trials	BSD015	p105	62	4099.22545	4099.561948	4100.042613	4100.042613	4100.089446	4101.174275	4101.174275	left	0.0	0	0.0	3	right	left	8262.675129
4101.774606	4160.900522999999	trials	BSD015	p105	63	4101.774606	4101.904272	4102.391104	4102.391104	4102.42577	4102.990101	4102.990101	left	0.0	1	-22.0	3	right	left	8262.675129
4103.446433	4159.228695999999	trials	BSD015	p105	64	4103.446433	4103.742598	4104.245263	4104.245263	4104.324596	4105.520258	4106.983085	left	0.0	2	-21.0	3	right	right	8262.675129
4107.346417	4155.3287119999995	trials	BSD015	p105	65	4107.346417	4107.46575	4108.061581	4108.061581	4108.138248	4108.709745	4108.709745	left	0.0	3	-20.0	3	right	left	8262.675129
4109.347743	4153.327385999999	trials	BSD015	p105	66	4109.347743	4109.518742	4110.161906	4110.161906	4110.599904	4110.599904	4110.599904	left	0.0	4	-19.0	3	right	left	8262.675129
4111.087236	4151.587892999999	trials	BSD015	p105	67	4111.087236	4111.156902	4111.6599	4111.667233	4111.6844	4113.276727	4113.276727	right	0.0	5	-18.0	3	right	right	8262.675129
4113.739058	4148.936070999999	trials	BSD015	p105	68	4113.739058	4113.837891	4114.514055	4114.514055	4114.649721	4115.221553	4115.221553	left	0.0	6	-17.0	3	right	left	8262.675129
4115.925716	4146.749413	trials	BSD015	p105	69	4115.925716	4116.035549	4116.59788	4116.603214	4116.64788	4119.380369	4119.380369	right	1.0	7	-16.0	3	right	right	8262.675129
4120.716364	4141.958764999999	trials	BSD015	p105	70	4120.716364	4122.178025	4122.743689	4122.749189	4122.798856	4125.939843	4125.939843	right	1.0	8	-15.0	3	right	right	8262.675129
4126.942672	4135.732456999999	trials	BSD015	p105	71	4126.942672	4127.104172	4127.669336	4127.676503	4127.790169	4128.304	4128.304	right	0.0	9	-14.0	3	right	right	8262.675129
