onset	duration	nwb_table	animal	session	trial	center_in	center_out	side_in	outcome	zeroth_side_out	first_side_out	last_side_out	action	rewarded	trial_in_block	prebswitch_num	block_num	state	last_side_out_side	tmax
357.658277	4805.886775999999	trials	BSD015	p104	1	357.658277	357.777443	358.606273	358.606273	358.625773	361.744261	370.438226	left	0.0	0	-30.0	1	right	right	5163.545053
372.017886	4791.527167	trials	BSD015	p104	2	372.017886	372.83305	373.601713	373.601713	376.219036	387.114159	391.356475	left	0.0	1	-29.0	1	right	right	5163.545053
392.331805	4771.213248	trials	BSD015	p104	3	392.331805	392.507971	393.078135	393.085469	393.112635	394.035798	394.035798	right	0.0	2	-28.0	1	right	right	5163.545053
395.16296	4768.382093	trials	BSD015	p104	4	395.16296	395.319293	395.926124	395.926124	396.673454	396.673454	399.175444	left	0.0	3	-27.0	1	right	right	5163.545053
399.737775	4763.807278	trials	BSD015	p104	5	399.737775	399.862775	400.277606	400.277606	400.316273	404.340257	404.340257	left	0.0	4	-26.0	1	right	left	5163.545053
405.054587	4758.490466	trials	BSD015	p104	6	405.054587	405.865251	406.316749	406.316749	408.059242	411.81756	411.81756	left	0.0	5	-25.0	1	right	left	5163.545053
412.277225	4751.267828	trials	BSD015	p104	7	412.277225	412.308892	412.896223	412.901556	412.948222	418.038202	418.038202	right	1.0	6	-24.0	1	right	right	5163.545053
418.560033	4744.98502	trials	BSD015	p104	8	418.560033	418.718033	419.255364	419.255364	419.30453	420.030861	435.042467	left	0.0	7	-23.0	1	right	right	5163.545053
482.796776	4680.748277	trials	BSD015	p104	9	482.796776	482.965442	483.768272	483.768272	484.136771	484.136771	524.029278	left	0.0	8	-22.0	1	right	right	5163.545053
524.829942	4638.7151109999995	trials	BSD015	p104	10	524.829942	524.931608	525.828938	525.828938	526.06127	528.057929	595.850491	left	0.0	9	-21.0	1	right	right	5163.545053
597.093319	4566.451734	trials	BSD015	p104	11	597.093319	597.355485	597.925649	597.925649	598.736313	598.736313	602.381631	left	0.0	10	-20.0	1	right	right	5163.545053
602.824463	4560.72059	trials	BSD015	p104	12	602.824463	602.915629	603.452627	603.458127	603.46346	607.896276	607.896276	right	1.0	11	-19.0	1	right	right	5163.545053
608.276608	4555.268445	trials	BSD015	p104	13	608.276608	608.347274	608.837272	608.842606	608.860105	611.385429	611.385429	right	1.0	12	-18.0	1	right	right	5163.545053
611.915927	4551.629126	trials	BSD015	p104	14	611.915927	611.948926	612.519424	612.526757	612.572924	614.517249	614.517249	right	0.0	13	-17.0	1	right	right	5163.545053
614.930914	4548.614138999999	trials	BSD015	p104	15	614.930914	615.656078	616.112576	616.118076	616.173076	619.090231	619.090231	right	1.0	14	-16.0	1	right	right	5163.545053
619.517896	4544.0271569999995	trials	BSD015	p104	16	619.517896	619.793062	620.374393	620.379893	620.472726	625.172707	625.172707	right	1.0	15	-15.0	1	right	right	5163.545053
625.997037	4537.548016	trials	BSD015	p104	17	625.997037	626.031537	626.475868	626.481368	626.504868	632.78751	632.78751	right	1.0	16	-14.0	1	right	right	5163.545053
634.030338	4529.514714999999	trials	BSD015	p104	18	634.030338	634.065671	634.830335	634.835668	634.946334	642.637304	642.637304	right	1.0	17	-13.0	1	right	right	5163.545053
643.216801	4520.328251999999	trials	BSD015	p104	19	643.216801	643.251801	643.809466	643.816799	643.895465	645.410293	645.410293	right	0.0	18	-12.0	1	right	right	5163.545053
645.894291	4517.650762	trials	BSD015	p104	20	645.894291	646.060457	646.536288	646.541621	646.593954	649.308777	649.308777	right	1.0	19	-11.0	1	right	right	5163.545053
649.979941	4513.565112	trials	BSD015	p104	21	649.979941	650.009441	650.607605	650.612772	650.638772	654.699589	654.699589	right	1.0	20	-10.0	1	right	right	5163.545053
655.277086	4508.267967	trials	BSD015	p104	22	655.277086	655.391419	656.397749	656.403249	656.515248	663.408054	663.408054	right	1.0	21	-9.0	1	right	right	5163.545053
664.44805	4499.097003	trials	BSD015	p104	23	664.44805	664.479383	665.105214	665.112547	665.18888	670.363026	670.363026	right	0.0	22	-8.0	1	right	right	5163.545053
671.077523	4492.46753	trials	BSD015	p104	24	671.077523	671.134856	671.563355	671.568688	671.611688	674.559509	674.559509	right	1.0	23	-7.0	1	right	right	5163.545053
675.062007	4488.483045999999	trials	BSD015	p104	25	675.062007	675.087341	675.885504	675.890837	675.952004	678.353827	678.353827	right	1.0	24	-6.0	1	right	right	5163.545053
678.948492	4484.596561	trials	BSD015	p104	26	678.948492	678.987825	679.577823	679.583156	681.659148	681.659148	681.659148	right	1.0	25	-5.0	1	right	right	5163.545053
